","A) Procuring, inducing Children for the sake of prostitution (Sec. 5)",B) Detaining a person in premises where prostitution is carried on (Sec. 6),C) Others,,,,"Cyber Crimes/ Information Technology Act (Col.67+Col.68)
",A) Publishing or Transmitting of material depicting children in sexually explicit act,B) Other Cyber Crimes against Children,,,
,,"Murder (Sec.302 IPC) (Col.4+Col.5)
",Murder with Rape/POCSO,Other Murder,,,,,,,,,Kidnapping and Abduction (Sec. 363 IPC) (Col.15+Col.16),A) Missing Children Deemed as Kidnapped,B) Other Kidnapping & Abduction,,,,,,,,,,,,,,,,,,,,,,Section 4 & 6 of POCSO Act or POCSO Act  (Section 4 & 6) r/w Section 376 IPC (Total)  (Col.39+Col.40),A) Girls,B) Boys,"Section 8 & 10 of POCSO Act or POCSO Act (Section 8 & 10)  r/w Section 354 IPC (Total)(Col.42+Col.43)
",A) Girls,B) Boys,"Section 12 of POCSO Act or POCSO Act (Section 12) r/w Section 509 IPC (Total) (Col.45+Col.46)
",A) Girls,B) Boys,"Section 14 & 15 of POCSO Act (Total) (Col.48+Col.49)
",A) Girls,B) Boys,"POCSO Act  r/w Section 377 IPC (Total) (Col.51+ Col.52)
",A) Girls,B) Boys,"Sections 17 to 22 of POCSO Act (Col.54+Col.55)
",A) Girls,B) Boys,,,,,,,,,,,,,,,,
14,Hingoli,3,0,3,0,1,0,0,1,3,0,22,19,0,19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,32,17,17,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,37,70
15,Jalgaon,9,1,8,0,1,0,0,4,5,1,178,64,0,64,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,203,121,62,62,0,55,55,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,324
16,Jalna,6,0,6,0,0,0,0,2,0,0,48,10,0,10,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,80,191,23,23,0,168,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,271
17,Kolhapur,3,1,2,0,1,2,0,1,0,0,143,139,60,79,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,156,126,64,64,0,55,55,0,0,0,0,1,1,0,6,1,5,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,130,286
18,Latur,2,0,2,2,0,0,0,0,0,0,106,94,0,94,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,112,51,26,26,0,23,23,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,0,57,169
19,Mumbai Commr.,6,1,5,3,6,1,4,8,33,4,1141,1137,620,517,2,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,22,1236,964,445,445,0,443,439,4,19,19,0,16,14,2,39,3,36,2,2,0,17,4,13,1,0,0,1,12,2,0,12,12,0,4,1012,2248
20,Mumbai Railway,0,0,0,0,0,0,0,1,0,0,6,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,130,6,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,136
21,Nagpur Commr.,3,0,3,1,1,2,0,2,8,1,312,309,35,274,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,21,355,200,93,93,0,103,103,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,2,0,0,0,0,1,0,0,23,23,0,1,227,582
22,Nagpur Railway,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
23,Nagpur Rural,0,0,0,1,1,0,0,2,3,0,103,103,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,128,153,63,63,0,88,88,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,154,282
24,Nanded,6,0,6,2,0,0,0,6,3,2,108,91,91,0,0,0,2,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,129,119,59,59,0,57,57,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,120,249
25,Nandurbar,2,0,2,2,0,0,0,0,1,0,49,43,29,14,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,60,35,25,25,0,9,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,36,96
26,Nasik Commr.,2,0,2,2,0,0,0,3,0,0,193,193,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,203,66,32,32,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,13,0,0,81,284
27,Nasik Rural,3,0,3,0,0,0,4,4,0,0,221,181,15,166,0,0,0,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,234,121,75,75,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,128,362
28,Navi Mumbai,3,0,3,0,0,0,0,2,2,1,204,204,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,214,111,68,68,0,40,40,0,1,1,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,3,0,0,7,7,0,0,122,336
29,Osmanabad,2,0,2,3,0,0,0,1,0,0,76,53,39,14,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,54,26,26,0,25,25,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,56,140
30,Palghar,0,0,0,0,0,0,0,1,0,0,68,68,47,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,79,54,34,34,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,55,134
31,Parbhani,2,0,2,0,1,0,0,5,8,0,56,49,49,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,77,78,38,38,0,39,39,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,84,161
32,Pune Commr.,4,0,4,0,2,1,0,2,3,1,423,422,120,302,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,446,204,121,121,0,78,77,1,2,2,0,0,0,0,3,0,3,0,0,0,5,0,5,0,0,0,0,0,0,0,9,5,4,1,219,665
33,Pune Railway,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
34,Pune Rural,8,0,8,6,3,0,0,2,2,1,339,330,330,0,0,0,0,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,41,403,251,125,125,0,122,122,0,1,1,0,0,0,0,3,1,2,0,0,0,3,0,3,0,0,0,0,0,4,0,1,0,1,0,259,662
35,Raigad,2,2,0,0,0,0,0,0,0,0,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,64,38,38,0,24,24,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,136
36,Ratnagiri,3,0,3,0,0,0,0,0,0,0,41,41,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,38,28,28,0,9,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,39,85
37,Sangli,7,1,6,2,0,0,0,3,4,1,194,176,0,176,0,0,0,16,1,0,1,1,0,0,0,0,0,0,0,0,0,0,6,218,124,66,66,0,54,54,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,130,348
38,Satara,4,0,4,4,1,2,1,0,5,0,177,170,88,82,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,197,155,92,92,0,59,59,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,1,0,0,0,0,0,1,0,4,4,0,0,161,358
39,Sindhudurg,0,0,0,0,0,0,0,0,0,0,17,17,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,27,17,17,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,28,52
40,Solapur Commr.,0,0,0,1,0,0,0,2,0,0,77,73,73,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,81,82,39,39,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,84,165
41,Solapur Rural,6,0,6,2,0,0,1,8,0,0,167,167,79,88,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,187,166,92,92,0,67,67,0,3,3,0,0,0,0,4,0,4,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,175,362
42,Thane Commr.,3,0,3,0,0,0,0,7,2,2,583,577,568,9,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,619,261,139,139,0,113,113,0,5,5,0,0,0,0,3,0,3,1,1,0,3,0,3,0,0,0,0,4,1,0,6,6,0,0,275,894
43,Thane Rural,0,0,0,1,0,1,0,1,0,0,97,97,70,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,101,47,27,27,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,49,150
44,Wardha,1,0,1,0,1,0,1,0,0,0,113,108,0,108,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,96,40,40,0,43,43,0,7,7,0,0,0,0,6,0,6,0,0,0,1,0,1,0,0,0,0,0,1,0,4,4,0,0,102,218
45,Washim,3,0,3,0,2,0,0,4,0,0,58,52,28,24,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,57,23,23,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,58,125
46,Yavatmal,7,1,6,1,1,0,0,4,6,0,118,114,55,59,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,143,119,56,56,0,62,62,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,122,265
47,Pimpri Chinchwad City,5,0,5,1,0,0,0,2,1,0,290,289,23,266,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,305,109,61,61,0,34,34,0,1,1,0,12,5,7,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16,16,0,1,127,432
48,Aurangabad Railway,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
49,Mira Bhayandar Vasai Virar Commr.,2,0,2,1,1,0,0,3,5,1,380,378,378,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,410,162,80,80,0,74,74,0,2,2,0,0,0,0,6,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,3,3,0,0,166,576
,Total Districts ,149,8,141,59,37,10,12,119,161,22,7392,6888,3867,3021,3,0,4,446,48,0,3,21,0,0,0,0,0,0,0,1,0,0,424,8407,5687,2785,2785,0,2705,2699,6,48,48,0,33,24,9,111,10,101,5,4,1,38,6,32,3,2,0,1,29,50,0,137,123,14,20,5964,14371
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bishnupur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,14,10,10,0,1,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18
2,Chandel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
3,Churachandpur,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
4,CID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3
5,Imphal East,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,10,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15
6,Imphal West,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,11,0,4,0,0,0,0,0,0,0,0,0,0,0,2,18,14,10,10,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,32
7,Senapati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
8,Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Thoubal,1,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,12,6,6,0,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21
10,Ukhrul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
11,Kakching,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,7,7,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15
12,Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Kangpokpi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
14,Jiribam,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
15,Noney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Tengnoupal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,Narcotic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total Districts ,2,0,2,0,0,0,0,0,0,1,35,1,1,0,0,0,0,4,23,0,7,3,0,0,0,0,0,0,2,0,1,0,3,47,75,55,55,0,14,13,1,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,78,125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Meghalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Garo Hills East,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,12,12,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18
2,Garo Hills North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
3,Garo Hills South,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,13,13,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20
4,Garo Hills South West,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,17,13,13,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22
5,Garo Hills West,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,4,12,27,20,20,0,3,3,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,39
6,Jaintia Hills West,2,2,0,0,0,0,0,0,0,0,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,37,35,35,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,47
7,Jaintia Hills East,0,0,0,0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,20,20,18,18,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,27,47
8,Khasi Hills East,0,0,0,0,0,0,0,2,0,0,21,15,0,15,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,25,79,55,52,3,22,22,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,104
9,Khasi Hills South West,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,8,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11
10,Khasi Hills West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,34,33,1,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44
11,Ri-Bhoi,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,52,38,38,0,11,11,0,2,2,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,53,56
12,Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total Districts ,3,3,0,0,0,0,0,2,0,1,50,32,4,28,0,0,0,0,15,0,3,0,0,0,0,0,0,0,1,2,10,0,10,79,328,251,247,4,64,60,4,9,9,0,2,2,0,0,0,0,2,2,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,336,415
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aizawl,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,31,12,10,2,17,16,1,0,0,0,0,0,0,0,0,0,2,2,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,36,44
2,Champhai,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,8,14,5,5,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22
3,Kolasib,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,13,8,8,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,15,18
4,Lawngtlai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,12
5,Lunglei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
6,Mamit,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,8,8,3,3,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16
7,Saiha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
8,Serchhip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,7
9,Spl Narcotic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Saitual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Khawzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4
12,Hnahthial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
13,Cyber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total Districts ,0,0,0,0,0,0,0,0,0,1,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,8,27,105,61,57,4,41,40,1,1,1,0,0,0,0,0,0,0,2,2,0,10,1,9,0,0,0,0,0,0,0,0,0,0,0,115,142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Nagaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dimapur,2,0,2,0,0,0,0,2,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,4,4,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14
2,Kiphire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Kohima,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
